domain,ok,n_pages,chars,reason
123sofom.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
1oncefinanzas.com,1,5,34728,
2514m.com,1,5,39567,
3galianza.com,1,3,11718,
a55.com.mx,1,4,14327,
abbe.com.mx,1,2,17382,
abdfinancials.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
abonitos.com,1,5,17868,
accedde.com,1,4,15660,
accedesofom.com,1,2,28894,
accender.com.mx,1,1,7883,
accessk.com.mx,1,2,9217,
acciona.com,1,5,189313,
acdirecto.net,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
aceleradoraadrenalina.com,1,1,1595,
aceleradoradamasco.com,1,2,17214,
aceleradorapremier.com.mx,1,2,7501,
acercate.org.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
acervo.mx,1,1,6799,
acfin.mx,1,1,356,
acrese.com.mx,1,1,5243,
acsein.mx,1,2,10335,
actividadesabc.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
activos-central-leasing.com,1,5,11016,
activosaxxismx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
adamantine.com.mx,1,3,30959,
addemcapital.mx,1,6,53251,
addendafinanciera.mx,1,5,70820,
adelantemx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
adelantoya.com,1,5,24521,
adeusis.com,1,4,22078,
administradora-aristo.com.mx,1,3,43403,
administradorasegumex.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
afalianza.com,1,5,17263,
affluentefinanciero.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
afflux.mx,1,5,36859,
afganicredisocial.mx,1,2,8958,
afingana.com,1,5,29275,
afipyme.com,1,4,21860,
afirme.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
afisofom.com,1,2,66839,
afix.com.mx,1,5,30817,
agilfinanciera.com,1,2,13770,
agrocapital.com.mx,1,3,7465,
agroentreprenor.com.mx,1,5,55694,
agrofin.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
agrofinanciera.com.mx,1,5,21629,
agrofinancierasofom.com,1,2,18974,
agrofinmex.com,1,2,4261,
agroimpulso-express.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
agrolagos.com.mx,1,1,5237,
agrosofom.com,1,5,98841,
aguila-digital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ainsofom.com,1,1,3591,
aion.com.mx,1,1,5503,
aktivafinanciera.com,1,6,114605,
alanacapital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
alaprestamo.com,1,1,36066,
alcanacapital.com,1,4,19088,
aldej.com,1,4,20032,
alderiva.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
alfilrdh.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
alianzafamiliar.mx,1,5,12854,
alianzatarasca.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
alifincapital.com,1,1,163,
aliviocapital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
