id,name,domain,vertical_broad,industry,bucket,reason
21219e43-ec6b-4f8a-a0a1-c3b5e62e281a,5TA RUEDA bolsa de trabajo de operadores,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
df77adf1-47cd-4637-bf7a-ae738d0c83ac,72once,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
8b4745c2-76d7-44ec-8da0-a184434448b8,Sandoz,sandoz.net,Salud y Farma,,review,No strong subsegment signal
b4ac05c7-0658-4b80-b958-eae4dc6aa5bd,Handy *,handy.la,Software/TI,it services and it consulting,review,No strong subsegment signal
b4a7ac81-abb3-4f7b-be21-b2067b3f118b,Calibraciones Profesionales e Ingeniería (CalPro),calpro.com.mx,Manufactura/Industrial,computers and electronics manufacturing,review,No strong subsegment signal
06eab855-62d3-488c-a68f-8c286a86684a,SASI Talento Humano,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
1d032a17-da2c-4f9b-9e46-3767297022d6,A. P. Capital Humano,,RRHH/Talento,Human Resources,review,No strong subsegment signal
5c973362-7d18-4fa1-9350-1c6c7f7238c7,Abrek,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
437d94c6-f3ee-4d2b-bb99-9271d06eb92c,AD ASTRA TALENT SERVICES,,Software/TI,IT Services and IT Consulting,review,No strong subsegment signal
cec01f31-5ff4-4681-b487-a22586546879,Add Kapter,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
7926124f-f864-48f0-bdea-ee63b70881ce,JAT Somos Tu Equipo,jat.com.mx,Agroindustria,plastics manufacturing,review,No strong subsegment signal
3c2ede84-5ebb-417f-9431-1716a743f949,AUGECORP,augecorp.com.mx,Servicios profesionales,,review,No strong subsegment signal
7f19f9b0-5e9d-409d-8c51-92b67d49676a,ADD PARTNERS,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
0de6ba3f-b42b-40c2-83bc-66e168768e87,AI-nlace,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
2bfcec25-44a5-4a8f-9a8b-2e0b1d88ca5d,aden-in ADVISORS,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
39a3415f-1d35-45d5-a147-5875e0cbef42,ADGB SOLUTIONS,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
8f91f7d2-2601-41e0-b079-3acb82d62139,ADI Asesoría Empresarial y Psicológica,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
f26800f3-7b28-47f9-b9cf-c7145f982bbe,TRANSMAL,transmal.com,Logística y Transporte,"transportation, logistics, supply chain and storage",3pl_warehousing,3PL/warehouse with transport signal
857d983d-febb-4f14-9c1f-87ef6c4efed7,MR,grupomr.mx,Construcción/Inmobiliario,,review,No strong subsegment signal
8c4eaad9-287a-4702-9206-15b5b30a34d3,Advance,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
